id,name,category,insurer,description,status,features,eligibility,term,exclusions,room_rent,premium_indication,insurer_logo_url,brochure_url,wording_url,claim_form_url,created_at,updated_at,commission,up,upfront_commission_percentage,trail_commission_percentage
1,Niva Bupa Ressure-Health,Health,Niva Bupa,Health Cover for Senior Citizens,Active,"[""No Room Limits"", ""No Co-payments"", ""All critical Illness Covered""]","Age > 18 years, < 65 years",1 year,None,No Cap,36000 for 1 person,https://scontent.fbom6-1.fna.fbcdn.net/v/t39.30808-6/247150942_4775112079180041_1428559619369484835_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=rStaKFx2Fu4Q7kNvwFcMLz-&_nc_oc=AdkGY5WECrxfjBxyXSVofQLHpNzNUn20SEBiyCOJlxcVn1cdCjZHnNGErxk1cVAakYE&_nc_zt=23&_nc_ht=scontent.fbom6-1.fna&_nc_gid=he2eKWYCWS-vDO-ShQy3mQ&oh=00_AfGfkwCjaYgmRGKFTqpMtL-8Tx60LBxOMPf-yXSquC0RYw&oe=680C57F4,https://www.nivabupa.com/content/dam/nivabupa/PDF/reassure-2-0/ReAssure%202.0%20-%20SS.pdf,https://www.nivabupa.com/content/dam/nivabupa/PDF/reassure-2-0/ReAssure%202.0%20-%20Policy%20Wording.pdf,https://www.nivabupa.com/content/dam/nivabupa/PDF/Combo/health-companion-claim-form.pdf,02-01-2006 15:04,02-01-2006 15:04,,,10,5
512N351V02 4,LIC's New Tech-Term 4,Term ,LIC India,"A non-linked, non-participating, individual pure risk life insurance plan providing financial protection to the nominee upon the life assured's death during the policy term. It is available for online purchase only and offers no maturity benefit.14",Active,"Pure risk cover; Choice of two death benefit options: Level Sum Assured or Increasing Sum Assured (increases 10% p.a. from year 6 to 15, capped at 200% of Basic Sum Assured); Option to receive death benefit in installments (5, 10, or 15 years); Optional LIC?s Accident Benefit Rider available (for Regular/Limited Pay); 30-day Free Look period; 30-day grace period for premium payment (non-Single Pay); Special premium rates for women; Discounted rates for non-smokers.14",Minimum Age at Entry: 18 years (Last Birthday); Maximum Age at Entry: 65 years (Last Birthday); Maximum Age at Maturity: 80 years (Last Birthday).22,Minimum: 10 years; Maximum: 40 years. The maximum term is subject to the maximum maturity age of 80 years and specific conditions under the Increasing Sum Assured option based on age and sum assured bands.22,,,https://licindia.in/documents/20121/290753/LIC_New+Tech+Term_Sales+Brochure_4+inch+x+9+inch_Eng+%282%29.pdf/d75b9948-b9e3-2ba1-9886-066a1bee6909?t=1741085687365 4,https://licindia.in/o/lic-theme/images/lic_logo.png,,https://licindia.in/documents/20121/1243736/Policy+document_LIC%27s_New+Tech-Term_V02.pdf/0880e486-f66a-4d65-6c4b-9bc45253de0e?t=1732264536744 4,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
512N338V07 5,LIC?s New Jeevan Shanti 5,Term ,LIC India,"A non-linked, non-participating, individual, single premium deferred annuity plan. The policyholder pays a lump sum at the outset and receives guaranteed annuity payments after a chosen deferment period. Options are available for single life and joint life coverage.15",Active,"Single premium payment; Deferred annuity options for Single Life or Joint Life; Guaranteed annuity rates fixed at inception; Death benefit payable during or after deferment (higher of Purchase Price + Accrued Additional Benefit - Annuity Paid, or 105% of Purchase Price); Additional benefit accrues monthly during the deferment period; Policy can be surrendered anytime; Policy loan facility available after 3 months from policy completion or free-look expiry; Flexible death benefit payout options (lump sum, annuitization, or installments over 5, 10, 15 years); Special option available to purchase the plan for the benefit of a Divyangjan (dependant person with disability) as nominee.15 Multiple annuity payout modes (Yearly, Half-yearly, Quarterly, Monthly).23",Minimum Age at Entry: 30 years (Last Birthday); Maximum Age at Entry: 79 years (Last Birthday); Minimum Vesting Age (Start of Annuity): 31 years (Last Birthday); Maximum Vesting Age: 80 years (Last Birthday).23,"Deferment Period: Minimum 1 year, Maximum 12 years (subject to the maximum vesting age of 80 years).23 The policy term effectively runs from the date of purchase until the death of the annuitant(s).",,,https://licindia.in/documents/20121/1129042/LIC_New+Jeevan+Shanti_Sales+Brochure.pdf/b315a114-5d6d-004d-1216-4ae4f6318bf5?t=1742895610678 5,https://licindia.in/o/lic-theme/images/lic_logo.png,,https://licindia.in/documents/20121/1240315/Policy+Document_LICs+New+Jeevan+Shanti_V07-withlogo.pdf/0f84ce1d-0598-9526-4404-9f6fe2b94060?t=1727867405661 5,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
512L334V02 16,LIC's SIIP (Systematic Investment Insurance Plan) 6,Term ,LIC India,"A non-participating, unit-linked, individual life insurance savings plan. It combines life insurance coverage with the potential for investment growth through market-linked returns via a choice of four segregated fund options (Bond, Secured, Balanced, Growth) catering to different risk appetites.16",Active,"Maturity Benefit: Unit Fund Value payable on survival till maturity; Death Benefit: Highest of Basic Sum Assured (reduced by recent partial withdrawals), Unit Fund Value, or 105% of total premiums received (reduced by recent partial withdrawals); Refund of Mortality Charges: Total mortality charges deducted are added back to the fund value on maturity (if policy in force and premiums paid); Guaranteed Additions: Percentage of annualized premium added to the Unit Fund at the end of policy years 6, 10, 15, 20, and 25; Fund Switching: Option to switch between the four fund types (Bond, Secured, Balanced, Growth), with 4 free switches per policy year; Partial Withdrawals: Allowed after the 5th policy anniversary; Settlement Option for Death Benefit: Nominee can opt to receive death benefit in installments over up to 5 years; Optional Rider: LIC?s Linked Accidental Death Benefit Rider available.16","Minimum Age at Entry: 90 days (Completed); Maximum Age at Entry: 65 years (Nearer Birthday - depends on Sum Assured multiple chosen: 54 years for 10x multiple, 65 years for 7x multiple); Minimum Maturity Age: 18 years (Completed); Maximum Maturity Age: 85 years (Nearer Birthday).24",10 years to 25 years.24,,,https://licindia.in/documents/20121/1319704/SIIP+Sales+Brochure.pdf/818c5227-3ffa-2f44-5b0f-821dd56dbc3f?t=1742296410684 6,https://licindia.in/o/lic-theme/images/lic_logo.png,,https://licindia.in/documents/20121/1307964/Final_Policydocument_LICs+SIIP_website.pdf/d4314ff4-8be0-631a-3f66-1d777502a449?t=1735734234853 6,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
104N118V11.12 (Note: Older versions V08 26 and V10 12 exist).,Max Life Smart Secure Plus Plan (also referred to as Axis Max Life Smart Secure Plus Plan) 12,Term ,Max Life Insurance (or Axis Max Life Insurance),"A comprehensive and highly customizable term insurance plan providing financial protection against death. It offers flexibility through various coverage options (including increasing cover), payout modes (lump sum, income), and a wide array of optional benefits like critical illness cover, accidental death benefit, return of premium, premium breaks, and joint life cover.12",Active,"Choice of Death Benefit: Life Cover (Level) or Increasing Life Cover (increases 5% p.a. simple interest for 21 years, max 200% of base) 27; Choice of Claim Payout: Lump sum, Monthly Income (for 10 years), or Part Lump sum/Part Monthly Income 27; Inbuilt Terminal Illness Cover: Accelerated payout of guaranteed death benefit up to ?1 Crore upon diagnosis 12; Optional Return of Premium (ROP) Variant: Returns total premiums paid if the insured survives the policy term 12; Optional Accident Cover: Additional payout on accidental death 12; Optional Accelerated Critical Illness (ACI) Benefit: Covers specified critical illnesses (40 or 64 depending on rider/version) 12; Optional Premium Break: Allows skipping premium payments for a period under specific conditions (for policies with PT > 30 yrs & PPT > 21 yrs) 27; Optional Joint Life Cover: Covers spouse under the same plan 27; Optional Waiver of Premium Plus Rider: Waives future premiums on death, disability, or critical illness 50; Special Exit Value: Option to surrender the policy at a specific point and receive back all premiums paid (free of cost feature) 26; Voluntary Sum Assured Top-up Option: Allows increasing sum assured later.26","Minimum Age at Entry: 18 years; Maximum Age at Entry: 65 years (Regular Pay), 44 years (Pay till 60 option); Maximum Maturity Age: 85 years (Base Death Benefit), 75 years (ACI Benefit), 85 years (Accident Cover).26","Minimum: 10 years (Base Cover), 5 years (Accident Cover Option); Maximum: 67 years (Base Cover / Accident Cover Option). For Return of Premium (ROP) variant, maximum policy term is 50 years.12",,,No direct brochure link found. Prospectus/Leaflet serve a similar purpose (links provided above).,https://www.axismaxlife.com/static-page/assets/homepage/new-logo.svg,,Official Policy Document link was inaccessible.47 Alternative official documents: Prospectus: https://www.maxlifeinsurance.com/static-page/assets/homepage/SSPP-Prospectus.pdf ; Leaflet: https://www.maxlifeinsurance.com/static-page/assets/homepage/SSPP-Leaflet.pdf ; Policy Contract: https://www.maxlifeinsurance.com/static-page/assets/homepage/SSPP-Policy-Document.pdf ; Customer Information Sheet (CIS): https://www.maxlifeinsurance.com/static-page/assets/homepage/SSPP-CIS.pdf.12,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
104N120V03 7,Max Life Smart Wealth Income Plan (also referred to as Axis Max Life Smart Wealth Income Plan) 7,Term ,Max Life Insurance (or Axis Max Life Insurance),"A participating savings plan designed to provide an additional income stream alongside life insurance protection. It offers choices between Early Income, Early Income with Guaranteed Money Back, and Deferred Income variants, featuring guaranteed benefits supplemented by potential non-guaranteed bonuses based on company performance. Options for policy continuance after death and deferral of income payouts are available.7",Active,"Policy Continuance Benefit (Optional): Ensures policy continuation with future premiums waived and benefits paid as scheduled, upon death of the life insured 7; Multiple Variants: Early Income, Early Income with Guaranteed Money Back (GMB), Deferred Income 7; Survival Benefits: Combination of Guaranteed Income / Guaranteed Money Back and potential Cash Bonus (if declared), depending on variant chosen 7; Maturity Benefit: Sum Assured on Maturity plus Terminal Bonus (if any) and accrued unpaid survival benefits 19; Bonus Potential: Participates in profits via Cash Bonus and Terminal Bonus (non-guaranteed) 19; Accrual/Deferral of Survival Benefits: Option to accumulate survival benefits with interest (linked to RBI repo rate) and withdraw later 7; Optional Riders: Waiver of Premium Plus, Accidental Death & Dismemberment, Term Plus, Critical Illness & Disability 7; Discounts: Available for existing Max Life customers and female lives 7; Loan Facility: Available up to 50% of Surrender Value after policy acquires value 19; Surrender Value: Acquired after payment of first two full years' premiums.19","Minimum Age at Entry: 91 days (18 years if Policy Continuance Benefit is opted); Maximum Age at Entry: Varies by Premium Payment Term (PPT), Maturity Age chosen, and Policy Continuance Benefit option (refer policy document page 15 for table) 19; Maximum Age at Maturity: Choice of 60, 65, 70, 75, 85, or 100 years.19","Determined by the formula: (Chosen Maturity Age - Age at Entry). Available Premium Payment Terms: 6, 8, 10, 12, 15 years.19",,,Prospectus serves as detailed brochure: https://www.maxlifeinsurance.com/static-page/assets/homepage/SWIP_Prospectus_451cd87acc.pdf 30,https://www.axismaxlife.com/static-page/assets/homepage/new-logo.svg,,https://www.maxlifeinsurance.com/static-page/assets/homepage/SWIP_Policy_Document_f4ea16b5e3.pdf 19,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
104L090V06 8,Max Life Platinum Wealth Plan (also referred to as Axis Max Life Platinum Wealth Plan) 8,Term ,Max Life Insurance (or Axis Max Life Insurance),"A unit-linked insurance plan focused on long-term wealth creation through market-linked returns. It offers life insurance cover alongside investment opportunities with flexibility in premium payments, policy duration, fund selection (choice of 15+ funds), and investment management strategies. Includes features like loyalty additions and wealth boosters to enhance fund value.8",Active,"Death Benefit: Higher of Sum Assured on Death (reduced by partial withdrawals in last 2 years), 105% of total premiums paid, or Fund Value 20; Maturity Benefit: Fund Value payable at the end of the policy term 20; Guaranteed Loyalty Additions: Additional units added to Fund Value at the end of specific policy years (e.g., starting year 11 or year 6 depending on premium size), increasing annually 20; Guaranteed Wealth Boosters: Additional units (2% or 2.5% of Fund Value depending on premium size) added every 5 years starting from policy year 10 20; Fund Choices: Choice of 15+ funds with varying risk profiles 8; Investment Strategies: Option for Self-Managed Portfolio or automated strategies like Dynamic Fund Allocation (manages equity/debt allocation based on remaining term) and Systematic Transfer Plan (monthly transfer from lower-risk to higher-risk fund) 20; Switches: Unlimited free switches between funds 20; Partial Withdrawals: Allowed after lock-in period (5 years)/policy year 6, subject to conditions 20; Premium Reduction Option: Allows reducing premium up to 50% after 5 years (one-time option) 20; Settlement Option: Maturity proceeds can be taken in installments over up to 5 years 20; Low Charges: Zero Policy Administration Charge after policy year 5 8; Optional Riders: Max Life Partner Care Rider, Max Life Smart Ultra Protect Rider, etc..32","Minimum Age at Entry: 91 days; Maximum Age at Entry: 60 years (Single Pay/Limited Pay), 55 years (Regular Pay); Minimum Age at Maturity: 18 years; Maximum Age at Maturity: 70 years (Single Pay/Limited Pay), 65 years (Regular Pay).20",10 years only (Single Pay); 10 years to 20 years (Limited Pay/Regular Pay).25,,,Prospectus: https://www.maxlifeinsurance.com/content/dam/corporate/Brochures/Ulip-plans/English/Max-Life-Platinum-Wealth-Plan/max-life-platinum-wealth-plan-prospectus.pdf 25; Leaflet: https://www.maxlifeinsurance.com/content/dam/corporate/Brochures/Ulip-plans/English/Max-Life-Platinum-Wealth-Plan/max-platinum-wealth-plan-leaflet.pdf 35; CIS: https://www.maxlifeinsurance.com/static-page/assets/homepage/PWP_CIS_5187cdf19b.pdf.32,https://www.axismaxlife.com/static-page/assets/homepage/new-logo.svg,,https://www.maxlifeinsurance.com/content/dam/corporate/Brochures/Ulip-plans/English/Max-Life-Platinum-Wealth-Plan/max-life-platinum-wealth-plan-policy-document.pdf 20,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
101N145V07 9,HDFC Life Click 2 Protect Super 9,Term ,HDFC Life Insurance,"A flexible term insurance plan providing comprehensive financial protection through three distinct coverage options: Life (level/increasing cover), Life Plus (includes accidental death benefit), and Life Goal (cover adjusts based on pre-defined goals). Features include options for return of premium, accelerated payout on terminal illness, waiver of premium benefits, and ability to increase cover at key life stages.18",Active,"3 Plan Options: Life Option (Choice of Level or Increasing Sum Assured), Life Plus Option (Level Sum Assured + Accidental Death Benefit), Life Goal Option (Sum Assured decreases over time based on chosen Level Cover Period and Amortisation Rate) 18; Inbuilt Terminal Illness Benefit: Acceleration of death benefit up to ?2 Crore if diagnosed with a terminal illness (Life Assured age ó 80 years) 9; Accidental Death Benefit: Additional sum payable on accidental death (inbuilt in Life Plus Option) 18; Optional Return of Premium (ROP): Receive 100% of total premiums paid on survival till maturity (not available with Life Goal Option) 18; Optional Waiver of Premium on Critical Illness (WOP CI): Future premiums waived on diagnosis of specified critical illnesses 9; Optional Waiver of Premium on Total & Permanent Disability (WOP Disability): Future premiums waived on TPD 9; Optional Spouse Cover: Provides cover for spouse 9; Life Stage Option: Increase Sum Assured on marriage or childbirth without medicals (Life Assured age < 45) 9; Smart Exit Benefit: Option to cancel policy after policy year 30 (but not in last 5 years) and receive total premiums paid (not available with Life Goal or ROP options) 18; Renewability Option: Option to extend policy term at maturity 18; Death Benefit Payout Option: Nominee can choose lump sum or installments (5-15 years).18","Minimum Age at Entry: 18 years; Maximum Age at Entry: 65 years (Policy Bond 18 general limit; Brochure 29 suggests up to 84 for entry under certain conditions - clarification needed from insurer, prioritize Policy Bond); Maximum Maturity Age: 85 years.18 Specific age conditions apply to features like Terminal Illness (ó80), Life Stage Option (<45), Spouse Cover (Spouse ó75 at Life Assured's death, max 10yr age diff), Parent Secure Option (Nominee ò50).18","Minimum: 1 month (Single Pay), 2 years (Regular Pay), 3 years (Limited Pay); Maximum: 85 years ? Age at Entry.9 Specific Policy Term ranges apply for ROP option (10-40 years depending on PPT) and Parent Secure Option (15-40 years).18",,,Retail Brochure: https://www.hdfclife.com/content/dam/hdfclifeinsurancecompany/customer-services/brochure-documents-pdfs/protection-live/HDFC-Life-Click-2-Protect-Super-Retail-Brochure.pdf.29 (Note: Product page 9 may offer email link option).,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/HDFC_Life_Logo.svg/800px-HDFC_Life_Logo.svg.png,,https://www.hdfclife.com/content/dam/hdfclifeinsurancecompany/customer-services/policy-documents-pdf/protection-live/HDFC-Life-Click-2-Protect-Super-Pol-Bond-V07.pdf 18,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
101N134V24.10 (Note: older versions exist).,HDFC Life Sanchay Plus 10,Term ,HDFC Life Insurance,"A non-participating savings insurance plan offering guaranteed returns and life cover. Provides flexibility through four distinct options: Guaranteed Maturity (lump sum payout at maturity), Guaranteed Income (fixed-term regular income payouts post PPT), Life Long Income (regular income payouts until age 99), and Long Term Income (longer fixed-term regular income payouts post PPT).10",Active,"Guaranteed Benefits: All payout options (Maturity lump sum or Income streams) are guaranteed; Four Plan Options: Tailored to different financial goals - lump sum accumulation (Guaranteed Maturity) or regular income needs (Guaranteed Income, Life Long Income, Long Term Income); Life Insurance Cover: Provides death benefit protection during the policy term; Tax Benefits: Premiums paid and benefits received may be eligible for tax benefits under applicable sections of the Income Tax Act, 1961.10 (More detailed features require full policy document analysis).",Specific age limits (entry/maturity) are not detailed in the available product page summary 10 and require reference to the full policy document or brochure.,Varies significantly by the chosen option: Guaranteed Maturity: 5-20 years; Guaranteed Income: 5-20 years; Life Long Income: 5-10 years (income payout continues till age 99); Long Term Income: 5-15 years.10,,,No direct PDF link found; likely requires email request via product page 10 or general brochures page: https://www.hdfclife.com/brochures.10,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/HDFC_Life_Logo.svg/800px-HDFC_Life_Logo.svg.png,,"Specific option URLs found via search 10, e.g., Guaranteed Income Option: https://www.hdfclife.com/content/dam/hdfclifeinsurancecompany/customer-services/policy-documents-pdf/savings-and-investment-live/HDFC-Life-Sanchay-Plus-Guaranteed-Income-Option-Policy-Document.pdf (Assuming accessibility). If inaccessible, state Unavailable.",,02-01-2006 15:04,02-01-2006 15:04,,,10,5
101L133V03 11,HDFC Life Click 2 Wealth 11,Term ,HDFC Life Insurance,"A unit-linked insurance plan (ULIP) offering a combination of life insurance coverage and investment growth potential through exposure to market-linked funds. It provides three distinct plan options (Invest Plus, Premium Waiver, Golden Years Benefit) designed to meet various life stage financial goals. The investment risk associated with the chosen funds is borne by the policyholder.17",Active,"Three Plan Options: Invest Plus (standard ULIP), Premium Waiver (future premiums waived on policyholder's death, policy continues for beneficiary), Golden Years Benefit (systematic withdrawal post retirement age); Death Benefit: Varies by option, typically higher of Sum Assured, Fund Value, or 105% of premiums paid 17; Maturity Benefit: Fund Value payable at maturity 17; Return of Mortality Charge: Total mortality charges deducted are added back to the fund value at maturity (conditions apply) 17; Special Additions: 1% of Annualized/Single Premium added to fund value systematically during first 5 years/at allocation 17; Fund Choices: Multiple segregated fund options available with varying risk profiles 17; Fund Switches: Allowed between funds 17; Partial Withdrawals: Permitted after 5-year lock-in period 17; Top-Up Premiums: Option to invest additional premiums 17; Settlement Option: Maturity or death proceeds can be received in installments over up to 5 years 17; Premium Redirection: Allows changing allocation for future premiums.17","Specific age limits (entry/maturity) per option require confirmation from full policy document 17 or brochure 11, as analysis of policy doc snippet 17 did not yield specific ranges per option. General conditions: Life Assured must be 18+ for partial withdrawals; restrictions apply for minor lives.17",10 to 40 years (Invest Plus Option); Policy Term is (99 - Age at Entry) years for Premium Waiver Option and Golden Years Benefit Option.11 (Note: This relies on product page info 11 as policy doc snippet analysis 17 did not confirm ranges per option).,,,No direct PDF link found; likely requires email request via product page 11 or general brochures page: https://www.hdfclife.com/brochures.11,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/HDFC_Life_Logo.svg/800px-HDFC_Life_Logo.svg.png,,https://www.hdfclife.com/content/dam/hdfclifeinsurancecompany/customer-services/policy-documents-pdf/savings-and-investment-live/HDFC-Life-Click-2-Wealth-101L133V03-Policy-Document.pdf 11,,02-01-2006 15:04,02-01-2006 15:04,,,10,5
